region,date,value
PAVLODAR REGION,2020-12-31,4151400
AKMOLA REGION,2015-12-31,1513900
AKMOLA REGION,2003-12-31,189100
AKMOLA REGION,2004-12-31,222100
AKMOLA REGION,2005-12-31,263400
AKMOLA REGION,2011-12-31,1099000
AKMOLA REGION,2000-12-31,105300
AKMOLA REGION,2013-12-31,1301700
AKMOLA REGION,2006-12-31,340000
AKMOLA REGION,2001-12-31,140600
AKMOLA REGION,2002-12-31,155200
AKMOLA REGION,2014-12-31,1427900
AKMOLA REGION,2012-12-31,1092800
AKMOLA REGION,2009-12-31,709300
AKMOLA REGION,2008-12-31,641400
AKMOLA REGION,2007-12-31,543200
AKMOLA REGION,2010-12-31,798100
AKMOLA REGION,2016-12-31,1818200
AKMOLA REGION,2017-12-31,2107800
AKMOLA REGION,2018-12-31,2301000
AKMOLA REGION,2019-12-31,2621200
AKMOLA REGION,2021-12-31,3644900
AKMOLA REGION,2020-12-31,3102500
AKTOBE REGION,2011-12-31,1998200
AKTOBE REGION,2005-12-31,604900
AKTOBE REGION,2006-12-31,748100
AKTOBE REGION,2002-12-31,268700
AKTOBE REGION,2015-12-31,2135000
AKTOBE REGION,2013-12-31,2298100
AKTOBE REGION,2003-12-31,353200
AKTOBE REGION,2001-12-31,219700
AKTOBE REGION,2000-12-31,175200
AKTOBE REGION,2004-12-31,438100
AKTOBE REGION,2014-12-31,2361400
AKTOBE REGION,2012-12-31,2220700
AKTOBE REGION,2009-12-31,1193100
AKTOBE REGION,2008-12-31,1231100
AKTOBE REGION,2007-12-31,970500
AKTOBE REGION,2010-12-31,1523100
AKTOBE REGION,2016-12-31,2464900
AKTOBE REGION,2017-12-31,2749700
AKTOBE REGION,2018-12-31,3136000
AKTOBE REGION,2019-12-31,3396800
AKTOBE REGION,2021-12-31,3982100
AKTOBE REGION,2020-12-31,3329800
ALMATY REGION,2005-12-31,202100
ALMATY REGION,2013-12-31,886200
ALMATY REGION,2003-12-31,147300
ALMATY REGION,2001-12-31,102100
ALMATY REGION,2000-12-31,80100
ALMATY REGION,2004-12-31,163500
ALMATY REGION,2015-12-31,1021300
ALMATY REGION,2011-12-31,654000
ALMATY REGION,2006-12-31,253500
ALMATY REGION,2002-12-31,119200
ALMATY REGION,2014-12-31,1002100
ALMATY REGION,2012-12-31,751000
ALMATY REGION,2009-12-31,460300
ALMATY REGION,2008-12-31,409200
ALMATY REGION,2007-12-31,337400
ALMATY REGION,2010-12-31,537900
ALMATY REGION,2016-12-31,1114200
ALMATY REGION,2017-12-31,1235800
ALMATY REGION,2018-12-31,1378000
ALMATY REGION,2019-12-31,1585500
ALMATY REGION,2021-12-31,2201100
ALMATY REGION,2020-12-31,1805200
KARAGANDA REGION,2006-12-31,690100
KARAGANDA REGION,2013-12-31,1919100
KARAGANDA REGION,2005-12-31,509900
KARAGANDA REGION,2000-12-31,217700
KARAGANDA REGION,2015-12-31,2248900
KARAGANDA REGION,2003-12-31,333600
KARAGANDA REGION,2011-12-31,1762100
KARAGANDA REGION,2002-12-31,276700
KARAGANDA REGION,2004-12-31,382300
KARAGANDA REGION,2001-12-31,249300
KARAGANDA REGION,2014-12-31,2110600
KARAGANDA REGION,2012-12-31,1798500
